Date,Plant,CalculatedDate,Version,Value,DateTime
2021-07-18,Lions Gate,2021/07/18,4,2688,2021-07-18T07:00:00Z
2021-07-25,Lions Gate,2021/07/25,4,2881,2021-07-25T07:00:00Z
2021-08-01,Lions Gate,2021/08/01,4,5606,2021-08-01T07:00:00Z
2021-08-07,Lions Gate,2021/08/07,2,3434,2021-08-07T07:00:00Z
2021-08-14,Lions Gate,2021/08/14,5,10064,2021-08-14T07:00:00Z
2021-08-21,Lions Gate,2021/08/21,5,11410,2021-08-21T07:00:00Z
2021-08-23,Lions Gate,2021/08/23,6,18143,2021-08-23T07:00:00Z
2021-08-25,Lions Gate,2021/08/25,5,12599,2021-08-25T07:00:00Z
2021-08-28,Lions Gate,2021/08/28,5,16224,2021-08-28T07:00:00Z
2021-08-30,Lions Gate,2021/08/30,5,11192,2021-08-30T07:00:00Z
2021-09-01,Lions Gate,2021/09/01,5,3508,2021-09-01T07:00:00Z
2021-09-04,Lions Gate,2021/09/04,6,3110,2021-09-04T07:00:00Z
2021-09-06,Lions Gate,2021/09/06,5,4655,2021-09-06T07:00:00Z
2021-09-08,Lions Gate,2021/09/08,5,4011,2021-09-08T07:00:00Z
2021-09-11,Lions Gate,2021/09/11,6,7026,2021-09-11T07:00:00Z
2021-09-13,Lions Gate,2021/09/13,5,2636,2021-09-13T07:00:00Z
2021-09-15,Lions Gate,2021/09/15,5,7027,2021-09-15T07:00:00Z
2021-09-18,Lions Gate,2021/09/18,4,4606,2021-09-18T07:00:00Z
2021-09-20,Lions Gate,2021/09/20,5,1467,2021-09-20T07:00:00Z
2021-09-22,Lions Gate,2021/09/22,5,4964,2021-09-22T07:00:00Z
2021-09-25,Lions Gate,2021/09/25,4,8202,2021-09-25T07:00:00Z
2021-09-27,Lions Gate,2021/09/27,5,5345,2021-09-27T07:00:00Z
2021-09-29,Lions Gate,2021/09/29,5,5419,2021-09-29T07:00:00Z
2021-10-02,Lions Gate,2021/10/02,2,3019,2021-10-02T07:00:00Z
2021-10-04,Lions Gate,2021/10/04,5,7795,2021-10-04T07:00:00Z
2021-10-06,Lions Gate,2021/10/06,5,6981,2021-10-06T07:00:00Z
2021-10-09,Lions Gate,2021/10/09,5,854,2021-10-09T07:00:00Z
2021-10-11,Lions Gate,2021/10/11,5,5715,2021-10-11T07:00:00Z
2021-10-13,Lions Gate,2021/10/13,4,4713,2021-10-13T07:00:00Z
2021-10-16,Lions Gate,2021/10/16,4,1229,2021-10-16T07:00:00Z
2021-10-18,Lions Gate,2021/10/18,4,1336,2021-10-18T07:00:00Z
2021-10-20,Lions Gate,2021/10/20,4,2756,2021-10-20T07:00:00Z
2021-10-23,Lions Gate,2021/10/23,4,4569,2021-10-23T07:00:00Z
2021-10-25,Lions Gate,2021/10/25,4,2607,2021-10-25T07:00:00Z
2021-10-27,Lions Gate,2021/10/27,4,6600,2021-10-27T07:00:00Z
2021-10-30,Lions Gate,2021/10/30,4,5197,2021-10-30T07:00:00Z
2021-11-01,Lions Gate,2021/11/01,4,2729,2021-11-01T07:00:00Z
2021-11-03,Lions Gate,2021/11/03,4,2881,2021-11-03T07:00:00Z
2021-11-06,Lions Gate,2021/11/06,4,2787,2021-11-06T07:00:00Z
2021-11-08,Lions Gate,2021/11/08,4,2059,2021-11-08T08:00:00Z
2021-11-10,Lions Gate,2021/11/10,4,3882,2021-11-10T08:00:00Z
2021-11-13,Lions Gate,2021/11/13,4,9665,2021-11-13T08:00:00Z
2021-11-15,Lions Gate,2021/11/15,4,1175,2021-11-15T08:00:00Z
2021-11-17,Lions Gate,2021/11/17,4,4334,2021-11-17T08:00:00Z
2021-11-20,Lions Gate,2021/11/20,4,5701,2021-11-20T08:00:00Z
2021-11-22,Lions Gate,2021/11/22,4,1929,2021-11-22T08:00:00Z
2021-11-24,Lions Gate,2021/11/24,3,4546,2021-11-24T08:00:00Z
2021-11-27,Lions Gate,2021/11/27,3,3537,2021-11-27T08:00:00Z
2021-11-29,Lions Gate,2021/11/29,3,3217,2021-11-29T08:00:00Z
2021-12-01,Lions Gate,2021/12/01,4,942,2021-12-01T08:00:00Z
2021-12-04,Lions Gate,2021/12/04,4,3416,2021-12-04T08:00:00Z
2021-12-06,Lions Gate,2021/12/06,4,2465,2021-12-06T08:00:00Z
2021-12-08,Lions Gate,2021/12/08,4,2785,2021-12-08T08:00:00Z
2021-12-11,Lions Gate,2021/12/11,4,4915,2021-12-11T08:00:00Z
2021-12-13,Lions Gate,2021/12/13,4,4198,2021-12-13T08:00:00Z
2021-12-15,Lions Gate,2021/12/15,4,7827,2021-12-15T08:00:00Z
2021-12-18,Lions Gate,2021/12/18,4,12403,2021-12-18T08:00:00Z
